Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
256;13;91.8457107544;217.369125366;56;141.332242817;11;48.8499984741;159.738739014;57;88.0790076256;
257;13;93.883392334;218.369125366;57;142.352472067;11;47.8499984741;158.738739014;59;88.1765751839;
258;13;94.932258606;216.369125366;58;143.394638836;11;47.8499984741;157.738739014;60;88.270966053;
259;13;94.7664642334;217.369125366;59;144.427077234;11;47.8499984741;161.738739014;61;88.3621029854;
260;13;96.7616958618;220.369125366;60;150.869339108;11;48.8499984741;157.738739014;61;88.4499287605;
261;13;101.981552124;220.831130981;61;156.606516838;11;47.8499984741;157.738739014;62;88.534406662;
262;13;103.973922729;224.240371704;62;161.643627346;11;47.8499984741;161.738739014;63;88.6155185699;
263;13;106.678642273;227.599639893;63;166.011315614;11;48.8499984741;157.738739014;63;88.6932644844;
264;13;109.141075134;230.912506104;63;169.758186698;11;47.8499984741;157.738739014;64;88.7676606178;
265;13;112.2345047;231.83253479;64;172.603275806;11;47.8499984741;161.738739014;64;88.8387379646;
266;14;113.309341431;233.432510376;64;174.818926632;11;48.8499984741;157.738739014;66;88.9065408707;
267;14;114.137947083;237.526550293;65;176.551368982;11;47.8499984741;157.738739014;66;88.9711265564;
268;14;114.806549072;243.841033936;67;177.782189339;11;47.8499984741;161.738739014;67;89.0;
269;14;115.187980652;250.130462646;68;178.713431269;11;47.8499984741;160.738739014;68;89.0;
270;14;115.441886902;256.395996094;68;179.204211324;11;46.8499984741;159.738739014;68;89.0;
271;14;115.52041626;262.638916016;70;179.311915904;11;45.8499984741;161.738739014;68;89.0;
272;14;115.531188965;268.769134521;72;180.317181319;11;45.8499984741;160.738739014;69;89.0;
273;14;128.731719971;279.269134521;74;180.382518858;11;45.8499984741;159.738739014;70;89.0;
274;14;123.898254395;287.269134521;76;180.450893015;11;44.8499984741;161.738739014;70;89.0;
275;14;121.468055725;290.299987793;75;180.522373229;11;45.8499984741;160.738739014;70;89.0;
276;16;121.54119873;293.299987793;73;180.597020805;11;44.8499984741;158.738739014;70;89.0;
